addr,tot
SP6wYCR8XwsKmkndtaPYe7NTkUeixDZqcm,4.99935167
ScbuDE3grjNpN5v2eQuQdeYptWCXLyzT8Q,4.997635
SN6jDdZkx2V9AHs3swMvYQLicWf5MKoqtR,4.99552833
SPaWVJ6Wp1RgQFdmh9bPSNgtoWM5aT1v75,4.99536333
SjE7HY9RP8UUe4JvkX1DweLiYDTkShRihK,4.99531667
SQshMRp4PjPQ8BRqAYJuyEaEwdKmdLSLKx,4.99529
SiKmNSqefkjP9AJa8Fr97FcxQvLkZYaJVK,4.99524833
SaMUKUvsNGnqvRoi9f86QjScoB8D7KQyzT,4.99484167
Sj5wr4i3iMqdJP3QS8ayqcRBhRV8jk7iJm,4.99469833
SjqMyhsPYo5TCUQii1B9d2Z8eWJfpr8Dei,4.994565
SVr5uavwyGieNfGgzg119xXyxkMNwRvED2,4.994415
SdUEEGA5ACPi315sNkHYZJhkqHJnqxdtk5,4.993785
SdUn9PBrLTqri7VmSaXNQnBJsLykdQxfJS,4.99263833
SXgsA788XvMEexrAXmzqnXRdm47HGAC1y4,4.99067333
SNwkYzpXucLd8eE7QyfqzYsqrM19dbDMfQ,4.96995334
ScQ7qCoBD15cpsqtTZQTWDJDNWaBZ7HVcX,4.95686833
STDicSG61a5pN6czgFBz3wsNrEa3ma9GoL,4.95677333
Secqs6XHhGv3SE5bUS5zbJ3oSQxrTPd4P4,4.95676833
STpi6vkLv9kY72Yw2iJiWuXPQh4ThANJ5R,4.95674333
SYGb9gxTFxzj1mxtHfUSjhA5nHY3aYASuF,4.95666667
SX6FYfTVXEZr4DHbA32jBMuUvmm8gTL8dh,4.95659333
STQygveCsYd4GXcVSUCwQJz9FS1LiCyqAx,4.95648833
Sfgi9khYyvhqDnxNzZJMhLt2SVUgVstpKR,4.93935667
SRz8ZiGGuCck9JRHzHabFx7V6H3nJrMVjJ,4.93926
SNG2GtxK5D3M8jVAQr2CiveHb52tWPCZYR,4.93914333
SgTRNq2XJsrV31qbJNCxvTEkFJ5d8KooPu,4.93881167
SZGkqkro4UXBacPK3PHf1dfrsWTwFuS7tT,4.93630667
SkQr2LTXZ38sxtEowuDMHt8capSbzj6YgP,4.93623833
SUZ5dgofnevw27FtMDHnNuUc1aESuzYzX5,4.93615833
SYgASSr9o1cnta9qFrv9ouuLRuXmcJpd6h,4.93614167
SbVMhkfkG9HyA7eUFWJFSU1sf6WUM2RT4F,4.936125
Si5P9W5S8hFS1EVxBHPVcck1YUcYtaH8GH,4.93592667
SiKAjiaAiiHxyUpULJgVhkScjcoLEycRKE,4.93591333
SWuKWVM2Mi5BP6UcPPw7X3KXBbVdHoECfE,4.935855
ShT6M7ME31Fw5TXTHnZey7aazcErggYFqG,4.935775
Sh2uYpXxhxRUgcgWxEvRE7seZtX9AvrBwc,4.93565833
SVTCVkWJUrdJuiYjeY7ARwpxKBgyp4K8rW,4.93563333
SgfhzF5b4LeY8MqChqox1T8E7iMxeTtgMr,4.93556667
SQeQ4cYddyooJSJAb5wdMMU2DrFsspVmQ2,4.93543667
Sh7ZpadNiyreTsPmTQ5czQLrwXphUhMj7Y,4.93532
SVL8NKd4VAuZWGqczkmqrBsgf6E8vekgHn,4.93521833
SQTwnc6JVY1WceRzF2vNhTJ2vrCwMGbwGh,4.93514
SaftZG46onTEAP4agS94R8bAMmd8CuUiFk,4.93508333
SkWC1L9BnUvpVouvN9aXeQqG1QiAdepM2k,4.935025
SVhUJMx9798S8iuU67WuNbT7HMcG9FvjjY,4.93495
SaQnTpsr5saEVebLYBALmet3q5HnuVxZgE,4.93460667
SWDouuTTJTN4wkVJ7mgj8wiwkry7A65SEd,4.934605
Sfk7FBqaULagXhU2s2cf74gpAiXpRnN9cw,4.93460333
SWmBo2YjygcecpekKmapc3VVs2Bcuzm7f8,4.93459333
SYekJz6Ar4AsCpBCTTqAoekWito5DZWbcG,4.934565
SeUgYB2baeQzKUcUzefpdvVTuw3hmTSdVY,4.93449167
SgmKQWLWDWJnmbG9Jz5iBfDn6AWyKRt5Cy,4.93447333
ScuQmQ16GdtKXPr946JQVLuB5imgRnHtxD,4.93444
SfLjpEko8jtR4zWgPUSsWo7pxUHUoDigsP,4.934265
SV6nZMbxNrp8LmbvCpdTNdNvBA6nVef4mM,4.93426167
SRRFxoEEpvkTUtDQD3pNqN61TRurpYux9N,4.93424333
SUDQmKjoZt5k6YpuEra6SuFi3z13P3dMa2,4.93419333
SeKLmwufacdDNmqk7y5Mg9Xy3gxpvHnSFT,4.93419
SQo75eBGfLFoyZ1ujmYY2sGog8tkcYUJbB,4.93409
ShUw9Kzt7YbqeeEbNs5gP8B96vc3eMCMNa,4.93407833
SUEuozkw5YLSeTwDMsSTTVm1Ch14YGVFsj,4.93389833
SQNxfD8V8c8auFDHhNhvwbGEzKuCCBLaZ7,4.93364833
SYqJWNVDRi4UEVHqKnNbsfxJqU4gSrDvw5,4.93347167
SP5QwpHakEv338yvLZFLcoepG9CVFJtjFG,4.93344833
SMhsSbnpFUGhPqX7MBSrW5Dhga3mc46eb3,4.93302667
SNMGKA6nFL7R6X3dXeLZ4vQcZsCgbQyxX3,4.93293333
SNyyy1Wi9P9t6vmikqF72NmMgeRKT8Froc,4.93286667
