addr,tot
Sa7rxqtTi4AZNGh9PymCWtQBCzH2NUV6Yv,6.98987167
SRRnUMA6U6S3z73Wea6rm8fmdg7qNAnePD,6.82175333
SPsyUe7CZc7VwHmAPfoqW2m6RBbyZCDESp,6.66253167
SUSqR8hfTFuPBtBr16HRp3LQEoBeCzQKAv,6.66199167
SitU5heGfSED5VnKkF1Saz2nexrw2SBkwy,6.661985
SZf5i8YgQSme5cjuWbSvPwUZZP9EjMh5zR,6.66160167
SUh9CAop6tPYoURGtZWwuRE7sdPrMqnhDm,6.66159167
SNiFosf3cpTadjdNbSr5NZH5FEdzZyMyrb,6.661545
SdP44hmMfSapviFnU5zWJ1bgprJgnhMKRS,6.66153333
SUuRSD4vw6kPiPSBFk6wBrbvna9pUcq3K5,6.66149833
SZCWdioiav4zvgLQWUZqwYaNVXqQjsXSTZ,6.658855
SgwXKTpTGmjBtRFPxMpn1AtjYp8JqJQUQt,6.658835
SMKUb9HKbDa9fHDs6cGsWh3ReWJwcje5ra,6.65881667
SZUbqgYBzUZCjn6PG47MdRoBY4cgGMXU7J,6.65879667
ShMoaEkD5MBtjWjDdjrhDfYQ5SkUQDHwPK,6.65878167
SZL4Ymi4zCAV1XK9MBqk2ToXSYrqUiptZw,6.658775
SZSFALWbTPvWyE4C6P5KtvP1jfUzFgj5i4,6.65875167
SMqkCBACMN6UCeV1zGEDMUh2oK1AtVFjL2,6.65874667
SUdFpb8imcXieTqJUUZ8o9Jcmo4SZtuTzd,6.65874333
SQZhM4J95kNB3jf8JdiPD3on5JArTiXYwo,6.65871333
Si4py4Tb1cjzKzGsMkmxGFKoYrUc2usgpX,6.65740667
SfgTSQzZ7PDRp2xqGbHBFK2FwpcSFQesX4,6.65617
SWt43xwCXusGE6hmYHNmLvCytUs8eSE5ov,6.656165
SYk7F3XkqEwS4xAMFAK3m8cy5LSvLQmRKP,6.65615667
Sb1EUXwX3recs7eHyZSgrT8P9aB23yYF8r,6.656125
SheT1ZLGdAHT5weH69jraz4ck2qdiupoL6,6.656115
SRph8Wh3xW4SGCHbw8EzUyf5FV3EXyGMZ8,6.65611333
SkQkiKQLWwGen5Yp6TTrxmXRso62Nxq28S,6.65608167
SNryTd3kMJgi3erbjPtSXheG3BmEohz8JT,6.65605333
SRut7sQjsrhruQk6AK7Efpar1kjs7rSzFn,6.65601833
SdzwneaHm2RswSjVsWLzVrNCtZCgjNVQEp,6.65600667
SjwxdhkWKXMvfUmdYLqt1koRhcFwVsnoFX,6.65597667
SXxJsQ6aFaaPjhjswmv3r6MopaVtmQYHgQ,6.655965
ScecKwXnrgmtiNXuuotQKLiwB4hr3en43e,6.65590167
SdF39DXNVPBdjjsDHT7XQfpYB6riYHVUXw,6.65587167
Sj32N8U15M21FrMb4MZ7gFsMTMKLWMRudw,6.65511
Sh7ahMDkj5kPNwfF2WeTtovUsT5xvGww1s,6.65510167
SUvfw5ULCrCdBvJoahycnQG5FePoPfssbV,6.65509833
SNS3d3FPDpiVWxSoGRr5qe4TRSgiBN9wtB,6.65509667
SR12YEPUHGXG53CC255gMLR1soEPVo59JV,6.65508333
SUrnEJvLK74pPgq5dtQKqtcTiVV7ZkFitZ,6.655075
SX4s2d4sfJFSo2fkqFnVck3JrnV945BX6G,6.65507333
