addr,tot
Sa1wqHLYrU87RNNiGzeaskcjGaK6yWF7hS,3.99906667
SZTyMmuLwpiLNo1YcT8AYrhSC6rQE8JGhE,3.99898
SRzWPo29Ka6GGkb37Wftih1RQD4s4UfhkB,3.99896833
SWebbNE2HpaD1Y4BVwoKNkdgiRnBvUDj2c,3.99865333
SUJkA7ds1eCpgePmzP9qJRkPcv3MbqjfVk,3.99760167
Sj3PoLzYeYFBHxVgdJnwbPg1ijSrg7KS9y,3.99651
SX8Ba8zMraS9KpxMfbAMX8QVWDYN1ueALR,3.99618333
SSGxX79HoQAiXch2pS3dyKQbktbVvWo5Gi,3.99611
SeDtGs1fyHpRKEm5b58Y1sZjjkzczDikyy,3.99506333
ST6vttTq26XLU6Kk8LMBF3vihSbMFKuVji,3.99499833
Sag1F6WZrNaG7vJmVYSQ3dBEjpVp8UBAdN,3.99497333
STuTwcxKDAbsViUcdknYh3FFzz2q8NGs3i,3.99389667
ScP3QdbhEKG3bSWQtJotAiTYXWCRvPjb79,3.99318333
SfHaurH9w8tySk59KVcUg7692ytP8BS87M,3.99315833
Sd5QsAMPNgMWyvKX6XMxPFiv21ezszSSBi,3.99144333
Sibb4Vx3LsDyz3Ry1ALFPCRRfrNsi7RaVC,3.99139833
SeYn4KJCk4bwczV6MeyR4f33XpFTCnJGJW,3.99138833
Sg2f1rtvsWgDHJYwRPFmnDL6AKHMpKTU5L,3.991305
SXoaxiZxK5RqLvXdAi53yryK6EesAeSK4n,3.99125
Say3bGnMYkMfdosXmBDMP8ABpWUMQ8Yo2F,3.99113333
SYo8tUR38hsmeve6HvP5ntQbVvXHy6u1b1,3.99098333
SX2nkoWEXKjzbiMEfgXJJhwgFRBZAhGM19,3.990895
SZprpJt41aRahyUEs6HWu5YWWofvPKRHid,3.99088667
SPHT2Qqx4fVv8G9VQNwsozni15PrSyWjLs,3.990845
SQXyXHtiD7gKCPcgShFWru9ChYo6qPgNW5,3.99082833
SdnaogmRJX3az6ohTgFsWJuDzZj9i4U48U,3.99078833
SjngXas2XKmJp59PAZnp7iezSpGobP8V4e,3.99075
Sf2QgtWYupwEcy4NUfCoaMfa6bkmJGAfUx,3.990725
ShcdK7Cbe11XDTjhwXhyvsvSXfZQMN4Zzy,3.99064167
STm89DovqBjjrTgidCbnzohMJA3esdSM4A,3.99027333
Sj7sAxSezWtgySfihagQPovDxmBFFMeR2n,3.99023
SWvcggZ2xh9GDJGZd5tTeWBe2CY3y5ZgjV,3.99015167
SUnZg9eu9mQFbktEQsjUv47XFw3aZK7L9K,3.99012667
SPNHdQgENabqMdDuWtWSiZQzGEeNQ71yKm,3.99006167
SNAsLBmDoiJeWvH2emFerL25tkhxFNWSFb,3.98996833
SN1BQDy3JhZgUrBDswR3dSucFenBdtbnso,3.98990667
SXS4tJvkTVGS7wdFeLCcwbMyrBRKfi2JaM,3.989865
ShuadPpjmg5rxPBFFWF1PPoEwzvr3QA8Yr,3.98986
SRtYuMGYH3VrHJFVx5Sut95V36bmbfsZV3,3.98977833
SUZYjoDkRJYGqL71tej2MtnbPRLtgQws1k,3.98970167
STQ9EcrNDAMX4Kq1XgMJSZSFRqMUJGPta3,3.989655
SN2VHR7b2m8Ryya52MTpTnr1VEN1h3AZ1y,3.98964833
SiKKpWXvCFD8XQX4enonnTwBM7jA1hiF2i,3.98962667
SMPK5spqX1CcmPZ2RQCNmx1adh3PcC9ghD,3.98953667
SXR1X1nCahLJrHu2atCu1YW7FzRrYLw6Jn,3.98952667
Sjp9hVNiS1CJCWTQTwBRdBGvk9mn6yYVKH,3.989525
SXnYMiE6CKFro5dzRcLAaKvKozKpmeYLLR,3.98947
SgxjkrUFXWNxxfL8rnSZXJmcxVU8ctNfvj,3.98946333
Sei7cDZwQc6QioP3hwLSfrwBRawt5i3NFY,3.98945833
SgExpS3ek6rHdX6cgRpKUdiN9VDJppZ9Nf,3.98945
SSQZA9L1FUnWaVLxK1aXf2B2bAHcDYWJWE,3.989425
SQHACYKb3HuCSRBGyF8GuFAsV36wHLhBPm,3.98935667
SeAGE4hfiL7nox6Ls3ZAdPhi4efrvY68Ch,3.98932833
SZiuLB9uNvNuzeyapxJVsxztHqv89MtPj9,3.98927
SdvUCXrT5wt7irgxfprzvnprKERwZ9uyux,3.98926333
SUGuVtgbcetDCH4U8fogtEyTgtFShqqRqt,3.98921833
SQLVPuadzNG8v9W4TFe3oKgunnimJTx6bU,3.98921167
ST1D98MCV6ZZahRmt6udcAr4ENvBf2CgsE,3.98914
ShiYwxLsNvksaZ1XHnp1RG9tkANYeWPYPn,3.98910333
STWt9ACBtq6jVi4wPdtYhuYEELoDtP8wMF,3.98904333
SZZcL126QURDydKS6xtoKZ7vDuSWfF5h1n,3.98897667
SihQsWvdmddUtrW7DRKwAqZ8AGecHphv9f,3.988975
SXfyBrTQw5ZXDyKPiX5tuG2WymtLsxkXRc,3.988965
SYLV8WhEGJxPT2yxbzqMg7GjiAiEjWdKDJ,3.98894833
SdkYE3boQipzzwJFbf259BruykXcYqzAnT,3.98891833
ScKw5G2VGkMaZNwjZJ8EAEJ7uitUqFbt9Z,3.98891333
SRsN26UWNxvVSFf5VMF9wQmoouvJefvgbB,3.98886
SWzVePeEmEHmbeaArcnSNDsdorbV1ECCpF,3.98885167
Si8ErxrULhW9EgDMZigW3tAAZunogzVWTs,3.98881833
SVgTcDXi7dkoPaKd81t4obtqfwwcRHTou2,3.988785
SMRwVxzH49vuS17Zvi4urgExutLLUUUQWN,3.98874333
SXCx2z4FfSRSokRzwXU4ExW1ETBEcxzTmi,3.98866667
SbSrMmKg1e9DmSerCiY1wY7YJSP44cUY8n,3.988645
SdH6PUZkWor84aHDNo13dqc6U8qxHRKiD1,3.98855833
SQLKa3LwbQvNU1pB3QS21WoixU9QNHWyj9,3.98852167
Sk9dkpwX59Qv9GUeQMehJaNLaDJ2WDQcrF,3.988495
Sf6w4NHjaPURxxQgU5HJEN3GVYwHdYBV7c,3.988405
Sb8W2zqbio7NUM2cT7G53hJBeLSanGGCG6,3.98833
SjNZpxsqg2H7kw9dyvHUDcb92Ngo1STUE3,3.98831667
SXk1tgG4XzQJR36RPu9RM3dY5VfhqhvjgT,3.988315
SkE2wDFazkvhFr5E7LdsZqvy5BWGWSQTsv,3.98828
SU6yWdR7FMtFXMubWUqkukispPceAZMUwr,3.98820667
SSARjaq3FvhKqvaQ6JZitdLnMuP4vdtBh1,3.9882
SX69cK77JnuA8DkHaLcadTMTQ9qtPoNjCd,3.98816
STuRjUqyAea8dahuMzTK7qWTTuJvZj89uM,3.98813667
SicJs8KSX9f3p2K6zpoXS6ixRX6CZLPZkk,3.988095
SREj88pLL3npEBZTK9a6cAUkcC35gpaZYN,3.98807333
SeiZm1v8Biz22WR7e34eARGjREMyUmBTt6,3.98803
SMxRvEpLyVfzAuXsMW4J1wA8PquRbjpPm8,3.98801667
ShJyP5JFuUtQzJxeNNWdCxsiVV7V9p1zie,3.98797
SX2SPJfsJW8wqEMPksCnFN6rL4cyVDy3ss,3.98796833
SaDn9gqZZjLXz2Xi6SULFv5iwVCrEJ1z5Y,3.98793833
SdDo6xpFGtj7wYoyvYCNJwctLAS8yKkuMp,3.98786833
STVdzHS7FBpRB3W3fXMNdoMipkfu7vkctw,3.98783333
SjCgLxMbYEtjE4yqAWAygjcxHBjz49bvnq,3.98779667
Sb6jebDnp2ZhdHLkAxnQRbHCREE3NZRsQ1,3.98769
SQZa3TPd2BoArvPHpmPP9DuXSCCxJMxNER,3.98759333
SPKmqNJuMjEQLLEiUCo5kkyzTCxhowkwZN,3.98755333
SfG4yEZYQ91faosWn5dvWJvxCjc9Kg7Ayn,3.98753167
SZUDX4WRbaf3kUNgTrChWfB7R77mKdspU3,3.98749333
SWrE87FcgY5buk7hS7dX67TiN9QbcQQAqi,3.98741667
SaBDAyYvgoH3px5XWtJkqtnMQa9MVjJq9z,3.98740667
SU1NL1MdNFX1pzGiDQVYb4sF9faQT7mfFf,3.98732167
Ses2EfVBp2XsCue8p66MH2axBNGSG5G1wv,3.98728167
SbDXrBx3CAsWwifRemGyZWNaySrxoKy9rZ,3.98726
SamNK3F6xBzhhSbmSS8bGCkLyJQaxLTUQX,3.98724333
SZgeBGiDrGYkijsDhMh5YEJi6cF8wiBxM1,3.98721667
SPrW6e7tD5TnPx5VsWarYbEmiLysvscyhD,3.98718167
STpKDyDnZHNNG24zcXkUjgq7Upr9EL7eJi,3.98716333
SUSUM1NtoqHSXcwP5kJrcxa5etFLh9y6bJ,3.9871
Sgg8v1QRo345Eo8aLQA7XsHPqr7AZhXoAd,3.98697333
SaE1fHeeWCP6JJzXBm1HLqusNT7sU5U6GY,3.98692
SfngQxEYhQshVk8guhtHdNuhNHx7RzFXNq,3.98689833
SaxdFruDLFuA2Dk4h42E16fmW4QaUrHzjX,3.98685833
Si6iMdnwZ96gmRAbXUKt5BMJkEgsSRZYfX,3.98669833
SYMfZ1DMnZB6NeiFNhkhyTwCbqNsSxPwgg,3.98664667
SSoCxbULa8HTYd6XuPS6zcdtieh1SQEKqd,3.98655833
SkXv6f8k7NYq6A3EgCANicedvHAXUC962M,3.98654667
SfzAjCsxsARZatTBk6SvvwNTAK12gjkYiB,3.9865
Sc6yw15oQcbxfRKjgvSRrvqurqiBHuXage,3.986495
SUXcHzWqn6p8r7bnGDfkFwcFQH3G4kWz4i,3.98649
SNFVE7RmM5vHhbmnzgFP88c9pTtwtZpgDT,3.98647167
SXE9YPtGG5nLxZekLkXvDZwgMfwzm7dzHT,3.98630333
SjGbWEnqf8K9ZUeNmmAA8TyLUEkzxuGVU8,3.98628833
SYftudhYN7tpLHqBVVddM4WEMtovNbwAbS,3.98628167
SZ1SqoQEKsjj3VKyJP9PPE3FiVupHyaP7z,3.98614667
SUophbtYyCVyMmx3eFUcVpBKKquobCyGPR,3.98612
SgSNu67AxJjcEiV9o3tyiVsreT63ji8iQr,3.98603167
ScovZ9e7QUqDip9yEfwNR6Dg9fKX9orEEd,3.98594167
SXysJDJ7TG89Xu4xK2yFWUyo3yWvQmna8c,3.98588
Sb22wxRPgniWHHP4nVADuSfKyvsJrynhFL,3.98577833
SNqdsCpHSu5VBoEVfrpdSNfE7iG8Eo3PTU,3.98574167
SfeVfytxNSjrayoRYe47YDxQGBeD28DJLW,3.98570167
SdLyHfqU59gnundofvNTcL38AyH8XL28yx,3.98568667
SanvEZ88qFAbWBUcHSkoNvb8QMsNwN6vf7,3.98567333
SgR3oaL1t2HLbYqqFAwkauSyUvK9MMBDCv,3.985565
SaenZD2TT9sX2e9GNqiNJccSouwxnrsvcx,3.98544833
SWJeavaUMBDb64zo9kFTSH79SWSFCXyV5o,3.98542
SV8niSyfGTYnfooF4srTdf2JR6oZE2BNKp,3.985415
ScihiEY3iNVkYDSpriSaiXzvhEBxRcTKiF,3.98538667
Sfm5CXVmy2PeefDV4xXRAU1vRS32PLTe62,3.98534333
SZKwifv3pvfFQpf1E31Pk183ggFstapFFi,3.985315
SMP1SGcLMiukggUm4M1WVT3tXG2aWnzMg2,3.98531333
SdLDdKGqMqfQkkm3ngQiAAx5YniK5X4zSN,3.98522667
SjVns3nmXLF3Q3gjaWTx3P3S5HNkgqt2nu,3.98519167
SMny4EhFjcjuXefmnnZrSuofv5ShyUxi8t,3.98515
SeTdWrT7Rv9rtm5GMDax5yUThAXcbFmNnb,3.98507833
Sk2WKCdrEU1vHhqfk5rwV4umMhqYqLwX8b,3.98497
SRNLoopNWvqBtjccv4ojUBCxXJgc3docrb,3.98491
SbU3aAqJEZjTDPbLEjYH8BsUiYxki1B8e4,3.98489
SVx4mHVPBtrxhEZ6N2Z1MehpuSS995QoCR,3.98485333
Sbhor5sRcLsfYbEwunjEwupjbpjtUEaa8n,3.984845
SMMzhULmYSdDbfXaKAtsWAz68PyDyvC7Xk,3.98481833
SRYofr4P8do2zAUma75WoUM21jewzPoDEp,3.98473833
SXSjMaZr8KYeFab9CJkZiErnGSfAJ5Yt2C,3.98468167
SdztCbBhnqYdwxVhRGfbEN4RFYaZpoFrkA,3.98464833
SQ3uWXC1b4RiGVdvcjLJxb7hUaDSz6fNun,3.98455167
ShEehFgeFFE5uhv4BACri1BMfLrW2wokqj,3.984485
Sc3MuqKiiqm91AsXXvgecooSmR8nAbcbQ8,3.98442167
SRhNYC1CYBQpsnYGepGHPEz5n7g1SunRMJ,3.984405
SbsdKjUPpbnx1nZsz4mCZNoitE1YCvF78K,3.98438833
