addr,tot
STw5suHdFdT7amfPgkAuUbt4m6hMpzKkDi,2.998
SUtEUhPoKqJZvNWYjkigQ6s8eEnfztSu8E,2.98
ShzVjq443mhhGAJwsAdoG5i69oGn9BFskJ,2.92781499
SfcNUfxjCztbiR6yc7YvYMc3iHkzoEczyV,2.90712833
SMNuCU6fZUys4YkzjtoxjvG7iF4FdyRaX6,2.90257168
SeKzPbffuA1CrEcA2heDEhZ6jMr4rDpwsd,2.86741665
SPLZyVsjwRMFhX3aSnGd7TMqqDA9aPs6hU,2.85133338
SWvcfEyKt79NuHKAspy3tFt96vEeRfzm9c,2.82272334
Se5opZ3aeq1BnnmVFRrJemSDbmXx31Vw5j,2.8
STtdbpbnsFtioAuRGbDNBH3mwmqiCCDMJK,2.8
SQr4Zav7ApgNxhBUXRVEQP61D9eMBdTTA4,2.79
SUFsXxCJWNBQSZDT4Y7DeYqZEP8wB2aG18,2.76663166
SSa3mx2fd3zEiPS1jYftRM12MpmXgmyWMU,2.76461667
SgbVxdesmWUXDhnZsJ1awBb1Zw5GnqyDvs,2.74254964
SV51ZkKsF2v7wTrAU8UfJkDtvYE8CneXJp,2.698
SViBDpG12XKXqk4aZgi3iK1JjEm98JB56E,2.67272741
ScdvT7mowEsdNAEm3ry9nvGajbViGAq6w2,2.64748466
SRdVWzgmDhDNbEMkhCxUAoQHk8vKPwvV2J,2.60706833
SPmZiEbwWZ3uzqgqTBAiu6nkvwdYbZB6cX,2.56419333
Seo7AyarUhNvnhb5JasWFfwZ8Ye3QK3HNH,2.5
SeuNVQD14aforM9ct8949rrsMbLZHh2z9m,2.49346832
SddHLRwqTXGmBghTWW9xyeW9JqNP9F94W2,2.47240999
SaNxB2JhGyLRcSFtb2wc5Uyr9sNBaQhqTt,2.46235675
SQk57ieHCxgG57wEEdxmk95uzaHuRZzmtB,2.45637167
SgQAT8egR7RpUouYtKRybjA7dk8txNP5wq,2.29344331
SXvHMeemw5DmFpVjHSqXLZuf8iCh6JgFsD,2.23999501
SdCFiLcEzkuwgLNUpH7PRcJhPodwoVUJJV,2.10408562
SVJVfYrrkiqoRx2WMDTaqVyLmndxUXx4Fu,2.08573168
SZ5rndQS5Bmgsty5ykAE5bMY2XMyNoMnoK,2.04058501
SXoEaytpdsLy6JnFDUFQ1EaL5WJUAw9pyX,2.03496836
Sd9FaT6wQhWrcUQfREDo3mEPowzqP3477y,2.0
SeQTPLdzuDrGHjKYWxjVCeCK96oSYcXtVd,2.0
Siik2GjAahrZXegACy53RYqFvhgmPYSDAK,2.0
