addr,tot
SWnB9Rhvm1oUuxj6t5wjCiEpmQF5ukXcsb,5.99723333
SMTxKxhHT6bmuSzuNYvXsi6Rp9CgnEyJKu,5.99723
SiM6fQrxQXvfjsdakrNrUMe63aTyC6BAfQ,5.997145
STUuEkatL33cmsYadQckGnym18BEVZXZ1e,5.99702333
SMWDFSB5n4AfM6hNPF7eMy6MWAkEm9jybF,5.99697167
SWXV7LNqnc639MWqcf6t7hVNUjKNP9dEQw,5.99689833
SSoBpNkM1KJvuDeidpcdaXQb8SBXn47NsG,5.99674333
SjdrY1qEoEJoZcHPV7AT5TAJKaSY9pgNYS,5.99665
SeRkyd6u3SA4kN8wQb2PGA3NUyiZfp3Tw4,5.99658
SUoTa4NqheD9BovivPng9Pk1y8D9CY178r,5.99652333
STeU23sggzDckkHKUr5ynKPFHGWKgUC7zA,5.99650833
SaLxEnhm47MpydTefYrhogECSEUDXTGQmQ,5.99624833
ShJ53Vfobda8pjV6q2ZNVsGF1heyQ3hiKQ,5.99614667
Seu3NTb4nRgxVwMVWCNrGNAbWbpEv4wMXG,5.99612833
SPp8Ej7c4UyG1HuDkuP763r4yVfkPCg8ZK,5.99610333
SQUeDhUbRs1LzVGaGaAuonaRhZRkVhFqEq,5.99609833
SR3cEhadfdTDLSqSdiQno1SVZFjXuiSCCX,5.996095
SjVStqZZorEnKCwFepSDpySoJ9EyeRYrrH,5.996045
Sa98oNuNpVaaWWEWuC8nfgJzPSd4LpHHXz,5.99596667
SPKz51TUMowhS9hBkV4dnXLU3X3fbZhob1,5.99594667
SZaZi5eHRJRaBTfm68xFAWJEVXZCo9xBsr,5.99592
SUrxHD6P6hJq7EKQefXLAFj9nbpJhstyJ7,5.995915
SQoxfvUoz2NMN2Gku52vKMQSLkgiREgg2c,5.99591
SMJVtEYjczw2R6dWXMst4KFLmz23H7awaE,5.99590667
SWjb8MatjuiH8oF45dnS8Cvy5nCLPsgSPQ,5.99590167
SP9qmG6h4RjB9p2S2RsHJMraTRTEGEtjBd,5.99587167
SXRQ2wHxY6NmDPX7YiNU3aEb1GCFkXGV7S,5.99587
SbZFR6rahh9fg24bfsxRRXVBGvFvwnUdRz,5.99583
SaubFNtTBpHtpb7ksbrZ1jkuS69rLEDz88,5.99582
ScRGoTT6GYQaigwQ3ffDnqiiFXzTkLfodK,5.99581167
Sfu7C6hksGtuMAqnyYxiieLa8RuvpD9Yu7,5.99581
SZUfFrcRfqYAcBVx8yBaSxmf4ppnb8HEJu,5.99580667
SPrPgpe3T822rGVVZyjzVSBAeJUnXk1NoJ,5.99579
SgwvzJAHW8Mr3BEaoFfKsqNibJMSDCAWPV,5.99578167
