addr,tot
ShVLiVdanLszyDPvAANLspsHRnaCeCiUfc,1.99800002
SewrfQKUqYBZGX65kvEQBLWfsBTqNtU2gv,1.9978
SX8LujqcKR5KHUegVBY7sTx6QDmiMemdf4,1.98278495
SV77oc9VNuHkWRZHKRGPFfNB3KT17E9o8X,1.95842829
ShtxXMZ3cTLsG9W44JE5Ku4zwLbpPMsPpu,1.8
SYgKWmw53v9w4qhM6igYWsYqchK6ix7X2n,1.8
SYxqLGp5hkovwn59ygyaMhrVCqwxBLuxnV,1.8
SeR4vKiHmJE9vqc7PRsUUyPDK4tL6iaJpE,1.76805831
SRTEyYbTREduPxxPZR8go3q4pvbKym37Nk,1.76765767
SQZuge5tGKaoTmrxjLm7acxV3U3aB4Y1af,1.75550337
ShWqtXSdpn2bM7hVoh3XEaKtZJn461aNCY,1.51488332
SYexLAEzxUrs27BiQJLyUJA5A5iV15N9BS,1.45518835
SdfsbLDUJfSqLKGu5eQYhmtcuxF2QyaJ2Z,1.41949335
SjiRQxTAzDgevezWvnPnZyukSnnY8C3bzm,1.37413166
Sf5YmkdM9D9eS86wMYKnpiwao6c6fT2bFJ,1.34628501
SNFH6kBG6Ua3DbEQqFHtE8tTtrmk7oi3XR,1.31684136
Si2GNbsqMRPEQqko3XHXYurpqUMSRFZP2k,1.26385832
SZeqpAivVGFtDrDDaegtoYqnRA36Vn65rK,1.25803004
SjmH4UcwmEhSy6X3QpAPDdw4ijuPxPA3dc,1.24
SWh33KYpxpGTypbZ9M1oxRnGxCBoRTg1Rr,1.23
Si3vffq4d6wyZPnFxeSjKrR5qpqFsGZ3ii,1.22648833
Sfzz3S3hsVszYGYcNh2C2NNeuEn39kCkhr,1.21314575
SMQoQEuihZxVFK5zr7Vc8U78JWaFzt6h8U,1.2
SPthWrfE82Vje386qDc422hUgwZugGoMCg,1.16
Sd387AEsyxfRk7oiT4m9Po2wrn8QiXVkkT,1.109955
SSZin4iGPjcB6XJfuraT7UhXvLPzHdvkh6,1.109925
SUNuyVvjdkNYfkTczzaEt6n1oXoAbeXx6Z,1.10989667
SS79T72XnSYFrFk4asSbth4c8yXrKusSc7,1.10959333
SeL9YQiPyHP4XdQCGQCy2snmiTesw4VX5S,1.10957333
SW8Qg5bbHLJ8QtXQYAgkHYcCKiP6Hm75YX,1.10957167
SRxxiRKs2oXW5PKnLM14DjE73p55uQVA3J,1.10957
SPEYrqmztDeqKPNK2SThuiAj5XMPQWQCqJ,1.10956167
SNUkmEh5y2a3CYjbDLy188MTKvtrsnVLKg,1.10954167
Semj4bEux8gWfBgr28D9BnMjfjV7Ten1ZG,1.09491162
SPg2rarCupxsmnWnVN9dsyjBM21FU3DfQc,1.0514918
SYruw2XCuspHYccUzrSm6bZrasCynNdAm2,1.04
SXESDQQnWo9YQNkLkZKcpxnWAga2MaoEbo,1.028
SU1jZXqEyAdJqmm8Ay8TLzqbY6DNzDhyEQ,1.00952333
ScEH2G2aL164kaG3KE8Th2MkyLnbYSuZha,1.0
Se3K9MBRhHQZzWrcARYaBLHCbgWFCbimxF,1.0
SeuYM4Y5wXqE9B6xkiSQDdgiRp3wNeS3aS,1.0
Si5zgxAD7YTXw1my13X3XAqtdvyVbuB413,1.0
SiLmG2WrPxn4gBQerL5CbR1Ld8xBVYQ7F7,1.0
SMJ12qn9jNCCXJnTYRz5Yu9ZenERqvYwfg,1.0
SMQFJdpT87A8x8UGWYHYAG84ENuLJkPwwf,1.0
SMUpKH9P8kLSQw8FFxbTYdcVRdBFZu5sCb,1.0
SNRU3QHZiAa2z219XV3QKbMDCYUUuQ6eE7,1.0
SPRcoinR4xCk4bxA46fiPPt6NuzMT4ZoL6,1.0
SQJQBeyJESNVu2iuubM2SNeiwHbsPKqtZZ,1.0
STNxzgtdCeFVBBjgJH3SqJYTjRZ2jMrkzy,1.0
STRwzgjewahMgAyUmz7H1SgvqmdJHaAZm8,1.0
SUGq79n65wcbW95DAbgQuz1gkjxu4stGnW,1.0
SUgSMTsJMiHyPnryqt4mrDsXe5gjwRo3Fc,1.0
SUmcTNcTrq3NP5F5wwsXd42eExWhCqHbkA,1.0
SV416Ey6h62ayk2jadUT8VEc3HadEmHMxa,1.0
SZNpxXCfuQ4YNjLFAkA4gqC4o5mK4jRne9,1.0
